project_number,bid_total,engineers_estimate,bid_days,start_date
C16773,380168.94,426540.0,34.97642684656368,2008-06-17
C16801,2983703.0,6748345.0,129.0,2008-04-23
C16804,710808.93,834812.25,55.96228295450189,2009-05-18
C16806,237053.0,226160.0,55.96228295450189,2009-05-07
C16807,1731552.34,1505115.0,76.9481390624401,2009-10-23
C16808,279132.6,268662.0,83.94342443175285,2008-12-01
C16813,436086.0,270270.0,57.0,2008-08-22
C16814,452029.64,404572.84,55.96228295450189,2008-10-06
C16816R,1014918.9,931600.75,54.0,2008-09-29
C16819,9195727.58,10074703.45,279.81141477250947,2009-06-02
C16830,7035016.35,7131635.75,172.0,2009-05-13
C16869,6756523.31,7408779.45,181.8774196021312,2009-05-05
C16870,6919621.03,8037208.0,144.0,2009-05-12
C16871,1648000.0,1820426.0,86.0,2008-10-07
C16878,854374.4,838929.1,90.93870980106558,2009-07-26
C16884,5105409.42,3942515.85,197.2670474146192,2012-09-01
C16886,844309.75,844309.75,,
C16891,3347327.75,4002410.6,114.0,2009-07-16
C16909R,1240504.51,1619217.4,34.97642684656368,2009-07-20
C16922,789909.4,850743.0,27.981141477250947,2009-06-03
C16941,310878.1,331100.0,83.94342443175285,2009-10-26
C16948,307250.25,359316.0,90.93870980106558,2009-06-01
C16949,150071.74,150022.0,27.981141477250947,2009-01-27
C16957,185963.0,218030.0,46.16888343746407,2009-05-19
C16967,4215868.36,4730340.19,97.93399517037832,2009-08-11
C16968,410460.63,442049.2,62.95756832381464,2009-06-29
C16975,490650.28,543684.0,41.97171221587642,2009-04-20
C16982,984000.0,1131691.25,83.94342443175285,2009-07-22
C16985,573490.0,746171.0,108.0,2009-03-25
C16989,1723369.1,1221320.0,120.0,2010-06-18
C16991,124306.73,177658.9,11.0,2009-12-08
C16995,391930.5,500662.0,100.0,2009-01-06
C16998R,440125.0,523548.6,105.0,2009-08-03
C16999,3968834.7,3616662.2,292.0,2008-10-13
C17006,564940.3,469938.0,64.0,2010-03-22
C17008,419476.75,481204.0,41.97171221587642,2009-06-23
C17010,1067725.0,803417.8,163.0,2009-12-16
C17012,394555.0,299945.0,60.0,2009-08-04
C17013,131180.5,105151.0,48.96699758518916,2009-09-15
C17014,1341839.19,862033.75,139.90570738625473,2009-06-02
C17015,519393.01,439280.0,62.95756832381464,2010-06-21
C17016,247463.2,272056.5,41.97171221587642,2009-09-14
C17018,22688541.65,19154622.85,363.7548392042624,2015-06-15
C17021,5726080.26,5018186.0,209.8585610793821,2011-06-01
C17023,149779.5,168906.0,34.97642684656368,2009-03-23
C17024,10246818.33,10831924.31,357.0,2009-10-12
C17025,185558.95,150014.0,34.97642684656368,2009-05-18
C17026,213988.65,210355.5,48.96699758518916,2009-08-24
C17031,383914.0,444058.0,181.8774196021312,2009-08-18
C17033,3686546.45,2790344.2,97.93399517037832,2010-07-06
C17046,2401747.55,1993414.75,242.0,2010-11-01
C17048,661848.95,528795.0,48.96699758518916,2009-09-15
C17051,367270.0,372365.5,41.97171221587642,2009-07-29
C17066,1892162.13,2815128.0,526.0,2009-06-12
C17070,490059.2,417521.0,131.0,2009-06-22
C17072,2240963.16,1751380.8,92.33776687492814,2009-08-12
C17083,50915979.38,46863415.95,738.7021349994251,2012-03-12
C17099,1702499.63,1234482.0,74.0,2009-06-02
C17100,312228.4,325451.0,55.96228295450189,2009-08-03
C17109,862228.05,979271.5,62.95756832381464,2009-09-21
C17110,9682685.77,11079482.7,181.8774196021312,2009-10-15
C17113,7484355.6,6204335.0,223.8491318180076,2010-08-08
C17115,561814.95,546784.0,100.7321093181034,2009-06-20
C17116,76730.0,80951.5,25.183027329525853,2009-06-09
C17117,235821.15,213810.5,69.95285369312737,2009-08-03
C17118,296276.45,292605.0,55.96228295450189,2009-08-08
C17121,819201.0,700122.5,125.91513664762928,2010-04-05
C17136R-ALT,14289792.26,11224644.2,138.0,2015-07-06
C17137,911645.0,710703.0,125.91513664762928,2012-03-29
C17138-ALT,6277813.46,5252996.5,174.88213423281843,2012-05-14
C17140,252352.17,280509.5,60.0,2009-09-15
C17143,442634.95,474731.0,41.97171221587642,2009-07-06
C17144,2046567.05,2132527.5,55.96228295450189,2009-07-13
C17145,2839072.81,2992991.9,76.9481390624401,2009-06-12
C17148,1310534.52,994914.87,83.94342443175285,2011-07-28
C17163,1060560.85,880777.3,48.96699758518916,2010-08-09
C17167,3940662.41,4823834.2,103.53022346582851,2009-07-05
C17168,4624868.01,4104041.0,211.25761815324464,2010-06-02
C17169,11558717.08,12120542.44,188.8727049714439,2009-07-13
C17170,29265528.61,22820114.5,699.5285369312737,2010-04-01
C17172,476448.0,608807.4,277.0,2009-12-01
C17174,7920491.8,8851731.85,442.0,2009-07-17
C17183,1094241.0,1026575.9,34.97642684656368,2009-06-16
C17184,3127645.3200000003,2184098.7,41.97171221587642,2011-05-18
C17187,6931903.56,8120606.85,502.0,2009-06-16
C17190,196418.0,231298.0,55.96228295450189,2009-08-10
C17191,232297.5,285932.0,69.95285369312737,2009-06-01
C17192,232313.95,269565.0,55.96228295450189,2009-07-13
C17193,1102857.0,1172680.0,153.8962781248802,2013-09-16
C17195,410496.56,351114.15,44.76982636360152,2009-09-29
C17198,214944.0,155388.0,47.56794051132661,2009-08-10
C17202,644984.3,652967.5,83.94342443175285,2009-09-05
C17208,1492538.0,1674229.86,20.98585610793821,2010-06-30
C17214,699635.01,681104.0,97.93399517037832,2009-07-20
C17216,4869777.51,4488990.95,90.93870980106558,2010-08-01
C17221,3607979.22,2900750.95,139.90570738625473,2010-05-04
C17242,3834319.21,3007523.9,354.0,2009-11-12
C17243,997970.0,1340955.5,62.95756832381464,2009-09-21
C17245,3403845.74,4091083.35,314.7878416190732,2009-08-31
C17246,1417544.75,1423662.0,81.14531028402774,2009-05-19
C17248,8083355.04,9423880.3,559.6228295450189,2009-07-06
C17249,3023563.74,3006350.5,174.88213423281843,2009-06-22
C17250,2144287.14,2572647.2,97.93399517037832,2009-06-01
C17251,1100655.25,1260928.8,75.0,2009-05-26
C17252,407407.47,581461.5,41.97171221587642,2009-05-18
C17253,1128290.9,1192509.5,69.95285369312737,2010-03-08
C17254R,1007547.81,853870.84,27.981141477250947,2010-05-18
C17255,2782712.4,2964775.0,139.90570738625473,2009-06-14
C17256,25302615.83,26252846.9,400.0,2009-07-09
C17261,4830088.76,4134396.75,766.0,2009-05-29
C17263,2892872.2,3005940.3,104.92928053969104,2010-05-18
C17264,2076512.38,1563698.8,48.96699758518916,2010-07-26
C17265,8072887.46,7962264.7,454.6935490053279,2009-08-26
C17268,251141.0,198600.0,27.981141477250947,2015-09-02
C17269,2937478.68,3002037.5,223.8491318180076,2009-09-03
C17271,2419795.25,3597192.45,279.81141477250947,2009-09-16
C17278,958679.12,781487.5,55.96228295450189,2010-07-20
C17280,6887953.26,5277727.0,239.0,2011-03-08
C17282,6434737.67,6016886.75,455.0,2010-02-26
C17303,7551848.3,7538844.5,267.0,2010-02-26
C17304,1881057.69,2306394.95,114.0,2009-08-03
C17314,2986381.47,2468909.0,177.0,2011-04-22
C17315,4224338.45,3839730.2,111.9245659090038,2011-06-21
C17316,3444911.15,3335384.3,104.92928053969104,2010-03-11
C17318,9856817.42,7336600.9,160.0,2010-06-29
C17332,194405.0,203863.0,76.0,2009-07-17
C17344A,1459000.0,1351478.0,125.91513664762928,2009-06-22
C17353,4547607.63,4165623.95,354.0,2010-10-26
C17357,6646906.7700000005,5231276.33,114.0,2010-03-25
C17358,7636990.63,6091807.05,473.0,2011-08-01
C17361,5821407.25,4644526.0,111.9245659090038,2011-06-06
C17366,375025.43,236621.53,55.96228295450189,2010-05-05
C17391,7189208.15,6351544.24,188.8727049714439,2010-03-29
C17393R,278558.25,275493.0,48.96699758518916,2011-08-18
C17395,1158000.0,929768.0,132.910422016942,2010-01-19
C17407,2342011.66,3037100.5,69.95285369312737,2009-09-07
C17409,486549.9,434969.0,55.96228295450189,2010-07-19
C17410,453013.34,450325.5,55.96228295450189,2010-08-18
C17416,262114.25,218000.0,65.75568247153973,2010-03-22
C17437,2737773.77,2123571.0,139.90570738625473,2010-11-08
C17442,446042.97,259821.0,48.96699758518916,2011-05-18
C17451,315142.88,499085.0,349.76426846563686,2010-06-29
C17452,3146599.1,3390085.7,80.0,2010-05-17
C17477,236892.5,165877.5,47.0,2010-08-30
C17489,2962897.34,2474444.5,90.0,2010-03-17
C17495,3713312.28,3048363.0,113.32362298286634,2011-08-16
C17498,536307.0,496562.75,25.183027329525853,2010-05-03
C17518,371212.46,319940.0,55.96228295450189,2010-06-24
C17523,602359.87,539757.2,104.92928053969104,2010-08-30
C17524,2383350.22,2213264.0,167.8868488635057,2010-09-15
C17530,4453234.5,3679989.5,107.0,2010-05-06
C17533,3096216.75,3608096.3,174.88213423281843,2010-06-02
C17535,8855085.16,8850716.9,580.0,2011-02-24
C17537,9269010.57,7739898.6,255.0,2011-07-29
C17545,208713.0,134815.65,110.0,2010-05-14
C17546,690754.0,571344.25,168.0,2010-04-16
C17550,789571.55,1209265.0,148.0,2010-01-22
C17558,4615481.98,3366052.0,144.0,2013-06-10
C17559,4506734.569999999,3902502.0,88.14059565334048,2010-07-19
C17583,9184697.8,7824001.25,621.181340794971,2011-03-01
C17600,1260835.62,828824.0,111.9245659090038,2010-09-13
C17601,674725.0,484410.0,93.0,2010-08-19
C17604,231595.1,250167.5,34.97642684656368,2010-09-20
C17615,1954606.6,1952302.0,97.93399517037832,2010-06-14
C17616,5182510.86,4842531.7,97.93399517037832,2010-02-26
C17617A,5705079.460000001,5830900.5,209.0,2010-04-06
C17619,2222825.0,2133075.0,69.95285369312737,2011-06-06
C17620,355223.0,325421.55,46.16888343746407,2010-03-11
C17622,10579104.12,8999599.47,219.65196059641997,2010-03-01
C17627,1583850.7400000002,1401684.2,167.8868488635057,2015-02-02
C17635,11579003.87,9978588.25,203.0,2011-02-10
C17636R,2580553.36,2158371.5,124.0,2011-03-14
C17637,3246012.6,2840010.5,88.0,2011-07-05
C17641R,2914308.3,2582517.6,251.8302732952585,2012-08-02
C17642,241280.57,201684.5,20.98585610793821,2010-10-18
C17647,2037507.31,2125469.0,104.92928053969104,2011-08-21
C17648,5240661.89,5335050.33,116.12173713059144,2010-05-18
C17653,626235.3,454016.8,62.95756832381464,2010-07-19
C17654,820300.0,650645.4,113.0,2010-07-30
C17655,1183556.45,1446695.05,48.96699758518916,2010-06-18
C17656,481327.44,399879.0,62.95756832381464,2010-10-13
C17657,296802.8,241331.7,48.96699758518916,2010-07-26
C17658,1135049.1,921368.0,69.95285369312737,2011-07-25
C17664,1049512.5,894455.0,97.93399517037832,2011-05-09
C17665,5635807.63,4830894.85,153.8962781248802,2010-04-05
C17667,6462657.6,5141667.7,251.8302732952585,2011-04-27
C17668,2864541.79,3443487.0,283.0,2010-08-18
C17669,1968635.0,1750941.0,139.90570738625473,2010-06-22
C17670,4331294.91,3783161.5,464.0,2010-07-26
C17671,1835458.06,1400166.8,117.0,2010-07-19
C17672R,4905462.66,5172239.8,310.0,2010-12-30
C17674,785113.45,526041.8,69.95285369312737,2010-10-01
C17675,2784470.02,2382500.0,150.0,2010-08-04
C17679-ALT,18707448.81,18241698.65,615.5851124995208,2010-06-14
C17682R,518176.35,459621.2,48.96699758518916,2011-07-18
C17683,901085.51,899406.75,121.0,2010-05-06
C17684,371997.5,295512.0,138.0,2010-12-15
C17685,1659030.65,1435290.7,76.9481390624401,2010-08-02
C17690,217371.81,178347.0,34.97642684656368,2010-05-19
C17691,95209.48,79823.0,27.981141477250947,2010-04-11
C17692,233899.45,230555.0,48.96699758518916,2010-07-26
C17693,208629.84,188707.5,34.97642684656368,2010-07-28
C17694,443721.64,389627.4,62.95756832381464,2011-04-20
C17698,1099787.0,764137.0,128.0,2010-07-26
C17700,1542973.8,1186410.0,90.93870980106558,2011-06-20
C17701,1337551.53,1088702.6,158.0,2010-06-15
C17702,1685426.85,1038730.0,86.0,2010-08-19
C17703,1219886.0,1252353.9,125.91513664762928,2010-12-20
C17704,3258701.0,2560126.6,107.72739468741617,2010-08-15
C17711,2293349.6,2052305.0,83.94342443175285,2010-07-09
C17716,255104.0,280227.0,34.97642684656368,2012-02-12
C17717,590184.5,554664.0,67.15473954540228,2010-05-24
C17718,12279302.35,12115529.15,540.0,2011-08-15
C17734,3608262.72,3127848.0,276.0,2010-10-18
C17735,12473156.73,9910935.2,335.7736977270114,2013-04-08
C17738A,4322460.37,5944016.15,167.8868488635057,2010-10-13
C17739R,4213557.5,3648511.0,90.93870980106558,2011-05-02
C17746,7652003.550000001,6467499.9,118.91985127831651,2010-06-28
C17757,15369435.72,13000677.0,349.76426846563686,2012-06-04
C17760,963456.92,1130330.0,45.0,2010-10-12
C17763,1141009.9,853206.0,83.94342443175285,2011-03-21
C17764,4377426.69,4375158.75,83.94342443175285,2011-05-13
C17765,6229383.55,5205976.45,97.93399517037832,2010-06-16
C17766,11299153.2,8829700.1,108.0,2011-06-02
C17767,1742867.31,829559.68,247.6331020736709,2011-03-14
C17768,864328.6,730315.5,34.97642684656368,2011-04-11
C17770,777606.35,1109226.0,180.0,2011-01-10
C17772,10791180.0,11795762.0,466.0,2014-05-02
C17776,810872.75,473298.0,42.0,2011-03-30
C17777,265860.2,279758.0,40.0,2011-08-08
C17778R,2920778.81,2723733.94,541.0,2017-03-08
C17779,286069.25,323277.75,41.97171221587642,2010-09-22
C17783-ALT,39322678.78,39088208.8,730.0,2011-04-11
