bid_item_code,category,description,unit_of_measure
603-34030,603,30 Inch Equivalent Arch Pipe Safety End Treatment,EACH
603-34036,603,36 Inch Equivalent Arch Pipe Safety End Treatment,EACH
603-34048,603,48 Inch Equivalent Arch Pipe Safety End Treatment,EACH
603-36008,603,Place 8 Inch Corrugated Steel Pipe,LF
603-36012,603,Place 12 Inch Corrugated Steel Pipe,LF
603-36015,603,Place 15 Inch Corrugated Steel Pipe,LF
603-36018,603,Place 18 Inch Corrugated Steel Pipe,LF
603-36024,603,Place 24 Inch Corrugated Steel Pipe,LF
603-36030,603,Place 30 Inch Corrugated Steel Pipe,LF
603-36036,603,Place 36 Inch Corrugated Steel Pipe,LF
603-36042,603,Place 42 Inch Corrugated Steel Pipe,LF
603-36048,603,Place 48 Inch Corrugated Steel Pipe,LF
603-36054,603,Place 54 Inch Corrugated Steel Pipe,LF
603-36060,603,Place 60 Inch Corrugated Steel Pipe,LF
603-36066,603,Place 66 Inch Corrugated Steel Pipe,LF
603-36072,603,Place 72 Inch Corrugated Steel Pipe,LF
603-36078,603,Place 78 Inch Corrugated Steel Pipe,LF
603-36084,603,Place 84 Inch Corrugated Steel Pipe,LF
603-36096,603,Place 96 Inch Corrugated Steel Pipe,LF
603-36108,603,Place 108 Inch Corrugated Steel Pipe,LF
603-36112,603,Place 12 Inch Corrugated Steel Pipe Nestable,LF
603-37524,603,Place 24 Inch Equivalent Corrugated Steel Pipe Arch,LF
603-37560,603,Place 60 Inch Equivalent Corrugated Steel Pipe Arch,LF
603-37578,603,Place 78 Inch Equivalent Corrugated Steel Pipe Arch,LF
603-40024,603,24 Inch Corrugated Steel Ditch Liner,LF
603-40030,603,30 Inch Corrugated Steel Ditch Liner,LF
603-40036,603,36 Inch Corrugated Steel Ditch Liner,LF
603-40042,603,42 Inch Corrugated Steel Ditch Liner,LF
603-40072,603,72 Inch Corrugated Steel Pipe (Half Round)(Special),LF
603-50001,603,3 Inch Plastic Pipe (Install Only),LF
603-50002,603,2 Inch Plastic Pipe,LF
603-50003,603,3 Inch Plastic Pipe,LF
603-50004,603,4 Inch Plastic Pipe,LF
603-50006,603,6 Inch Plastic Pipe,LF
603-50007,603,6 Inch Plastic Pipe (Special),LF
603-50008,603,8 Inch Plastic Pipe,LF
603-50010,603,10 Inch Plastic Pipe,LF
603-50011,603,10 Inch Plastic Pipe (Special),LF
603-50012,603,12 Inch Plastic Pipe,LF
603-50015,603,15 Inch Plastic Pipe,LF
603-50016,603,16 Inch Plastic Pipe,LF
603-50018,603,18 Inch Plastic Pipe,LF
603-50024,603,24 Inch Plastic Pipe,LF
603-50025,603,24 Inch Plastic Pipe (Install Only),LF
603-50027,603,27 Inch Plastic Pipe,LF
603-50030,603,30 Inch Plastic Pipe,LF
603-50036,603,36 Inch Plastic Pipe,LF
603-50042,603,42 Inch Plastic Pipe,LF
603-50043,603,42 Inch Plastic Pipe (Install Only),LF
603-50048,603,48 Inch Plastic Pipe,LF
603-50072,603,72 Inch Plastic Pipe,LF
603-50100,603,Flap gate (__ Inch),EACH
603-50106,603,Place 6 Inch Plastic Pipe,LF
603-51206,603,Furnish 6 Inch Plastic Pipe,LF
603-60120,603,Place 12 Inch Flexible Pipe,LF
603-60180,603,Place 18 Inch Flexible Pipe,LF
603-60240,603,Place 24 Inch Flexible Pipe,LF
603-61108,603,8 Inch Flexible Pipe,LF
603-61120,603,12 Inch Flexible Pipe,LF
603-61180,603,18 Inch Flexible Pipe,LF
603-61210,603,21 Inch Flexible Pipe,LF
603-61240,603,24 Inch Flexible Pipe,LF
603-61300,603,30 Inch Flexible Pipe,LF
603-65010,603,10 Inch Aluminum Pipe (Special),LF
603-70303,603,3x3 Foot Concrete Box Culvert (Precast),LF
603-70402,603,4X2 Foot Concrete Box Culvert (Precast),LF
603-70404,603,4X4 Foot Concrete Box Culvert (Precast),LF
603-70502,603,5x2 Foot Concrete Box Culvert (Precast),LF
603-70503,603,5x3 Foot Concrete Box Culvert (Precast),LF
603-70504,603,5x4 Foot Concrete Box Culvert (Precast),LF
603-70505,603,5x5 Foot Concrete Box Culvert (Precast),LF
603-70603,603,6x3 Foot Concrete Box Culvert (Precast),LF
603-70604,603,6x4 Foot Concrete Box Culvert (Precast),LF
603-70606,603,6x6 Foot Concrete Box Culvert (Precast),LF
603-70607,603,6x7 Foot Concrete Box Culvert (Precast),LF
603-70703,603,7x3 Foot Concrete Box Culvert (Precast),LF
603-70704,603,7x4 Foot Concrete Box Culvert (Precast),LF
603-70705,603,7x5 Foot Concrete Box Culvert (Precast),LF
603-70707,603,7x7 Foot Concrete Box Culvert (Precast),LF
603-70803,603,8x3 Foot Concrete Box Culvert (Precast),LF
603-70804,603,8x4 Foot Concrete Box Culvert (Precast),LF
603-70805,603,8x5 Foot Concrete Box Culvert (Precast),LF
603-70806,603,8x6 Foot Concrete Box Culvert (Precast),LF
603-70808,603,8x8 Foot Concrete Box Culvert (Precast),LF
603-70810,603,8 x 10 Foot Concrete Box Culvert (Precast),LF
603-70905,603,9x5 Foot Concrete Box Culvert (Precast),LF
603-70906,603,9x6 Foot Concrete Box Culvert (Precast),LF
603-71004,603,10x4 Foot Concrete Box Culvert (Precast),LF
603-71005,603,10x5 Foot Concrete Box Culvert (Precast),LF
603-71006,603,10x6 Foot Concrete Box Culvert (Precast),LF
603-71007,603,10x7 Foot Concrete Box Culvert (Precast),LF
603-71008,603,10x8 Foot Concrete Box Culvert (Precast),LF
603-71010,603,10x10 Foot Concrete Box Culvert (Precast),LF
603-71204,603,12x4 Foot Concrete Box Culvert (Precast),LF
603-71206,603,12x6 Foot Concrete Box Culvert (Precast),LF
603-71208,603,12x8 Foot Concrete Box Culvert (Precast),LF
603-71210,603,12x10 Foot Concrete Box Culvert (Precast),LF
603-71307,603,13x7 Foot Concrete Box Culvert (Precast),LF
603-71404,603,14x4 Foot Concrete Box Culvert (Precast),LF
603-71405,603,14x5 Foot Concrete Box Culvert (Precast),LF
603-71406,603,14x6 Foot Concrete Box Culvert (Precast),LF
603-71408,603,14x8 Foot Concrete Box Culvert (Precast),LF
603-71505,603,15X5 Foot Concrete Box Culvert (Precast),LF
603-71604,603,16x4 Foot Concrete Box Culvert (3-Sided)(Precast),LF
603-71606,603,16x6 Foot Concrete Box Culvert (Precast),LF
603-71607,603,16x7 Foot Concrete Box Culvert (Precast),LF
603-71608,603,16X8 Foot Concrete Box Culvert (3-Sided)(Precast),LF
603-71609,603,16x8 Foot Concrete Box Culvert (Precast),LF
603-71610,603,16x10 Foot Concrete Box Culvert (Precast),LF
603-71611,603,16 x 11 Foot Concrete Box Culvert (Precast),LF
603-71806,603,18x6 Foot Concrete Box Culvert (Precast),LF
603-71808,603,18 x 8 Foot Concrete Box Culvert (Precast) (Special),LF
603-71812,603,18x12 Foot Concrete Box Culvert (Precast),LF
603-72008,603,20x8 Foot Concrete Box Culvert (Precast),LF
603-72009,603,20x9 Foot Concrete 3-Sided Culvert (Precast),LF
603-72010,603,20x10 Ft Concrete 3-sided Culvert (Precast),LF
603-73000,603,Concrete Box Culvert (Design Build),EACH
603-73114,603,31x14 Foot Concrete 3-Sided Culvert (Precast),LF
603-74214,603,42x14 Foot Concrete 3-Sided Culvert (Precast),LF
603-76624,603,66x24 Foot Concrete 3-Sided Culvert (Precast),LF
603-77001,603,Culvert Headwall (3-Sided Culvert)(Type 1),SF
603-77002,603,Culvert Headwall (3-Sided Culvert)(Type 2),SF
603-77011,603,Culvert Wingwall (3-Sided Culvert)(Type 1),SF
603-77012,603,Culvert Wingwall (3-Sided Culvert)(Type 2),SF
603-80349,603,Construction Traffic Sign (Panel Size C) (Install Only),EACH
603-80705,603,Place 7x5 Foot Concrete Box Culvert (Precast),LF
603-80790,603,12X8 Foot Concrete Arch Culvert (Precast),LF
603-80800,603,14x10 Foot Concrete Arch Culvert (Precast),LF
603-81004,603,4 Inch Cast Iron Pipe,LF
603-81006,603,6 Inch Cast Iron Pipe,LF
603-81008,603,8 Inch Cast Iron Pipe,LF
603-81016,603,16 Inch Cast Iron Pipe,LF
603-81018,603,18 Inch Cast Iron Pipe,LF
603-82004,603,4 Inch Ductile Iron Pipe,LF
603-82006,603,6 Inch Ductile Iron Pipe,LF
603-82008,603,8 Inch Ductile Iron Pipe,LF
603-82010,603,10 Inch Ductile Iron Pipe,LF
603-82011,603,10 Inch Ductile Iron Pipe (Preinsulated),LF
603-82012,603,12 Inch Ductile Iron Pipe,LF
603-82014,603,14 Inch Ductile Iron Pipe,LF
603-82016,603,16 Inch Ductile Iron Pipe,LF
603-82018,603,18 Inch Ductile Iron Pipe,LF
603-82024,603,24 Inch Ductile Iron Pipe,LF
603-82030,603,30 Inch Ductile Iron Pipe,LF
603-82036,603,36 Inch Ductile Iron Pipe,LF
603-82054,603,54 Inch Ductile Iron Pipe,LF
603-83008,603,8 Inch Sewer Pipe,LF
603-83009,603,8 Inch Sewer Pipe (Special),LF
603-83012,603,12 Inch Sewer Pipe,LF
603-83024,603,24 Inch Sewer Pipe,LF
603-83048,603,Place 48 Inch Ductile Iron Pipe,LF
603-85095,603,Precast Concrete Arch Bridge System,L S
604-00305,604,Inlet Type C (5 Foot),EACH
604-00310,604,Inlet Type C (10 Foot),EACH
604-00315,604,Inlet Type C (15 Foot),EACH
604-00320,604,Inlet Type C (20 Foot),EACH
604-00330,604,Inlet Type C (30 Foot),EACH
604-00350,604,Inlet Type C (Special),EACH
604-00405,604,Inlet Type C (Double) (5 Foot),EACH
604-00455,604,Inlet Type C (Triple) (5 Foot),EACH
604-00460,604,Inlet Type C (Triple) (10 Foot),EACH
604-00505,604,Inlet Type D (5 Foot),EACH
604-00506,604,Inlet Type D (Special) (5 Foot),EACH
604-00510,604,Inlet Type D (10 Foot),EACH
604-00511,604,Inlet Type D (Special) (10 Foot),EACH
604-00515,604,Inlet Type D (15 Foot),EACH
604-00520,604,Inlet Type D (20 Foot),EACH
604-00550,604,Inlet Type D (Special),EACH
604-00605,604,Inlet Type D (Double) (5 Foot),EACH
604-00610,604,Inlet Type D (Double) (10 Foot),EACH
604-03005,604,Inlet Type 3 (5 Foot),EACH
604-03010,604,Inlet Type 3 (10 Foot),EACH
604-03011,604,Inlet Type 3 (Special) (10 Foot),EACH
604-03015,604,Inlet Type 3 (15 Foot),EACH
604-03505,604,Inlet Type 3 (Double) (5 Foot),EACH
604-03510,604,Inlet Type 3 (Double) (10 Foot),EACH
604-03515,604,Inlet Type 3 (Double) (15 Foot),EACH
604-03605,604,Inlet Type 3 (Triple) (5 Foot),EACH
604-03610,604,Inlet Type 3 (Triple) (10 Foot),EACH
604-13005,604,Inlet Type 13 (5 Foot),EACH
604-13006,604,Inlet Type 13 (5 Foot) (Special),EACH
604-13010,604,Inlet Type 13 (10 Foot),EACH
604-13011,604,Inlet Type 13 (10 Foot) (Special),EACH
604-13015,604,Inlet Type 13 (15 Foot),EACH
604-13020,604,Inlet Type 13 (20 Foot),EACH
604-13025,604,Inlet Type 13 (25 Foot),EACH
604-13505,604,Inlet Type 13 (Double) (5 Foot),EACH
604-13510,604,Inlet Type 13 (Double) (10 Foot),EACH
604-13515,604,Inlet Type 13 (Double) (15 Foot),EACH
604-13605,604,Inlet Type 13 (Triple) (5 Foot),EACH
604-13610,604,Inlet Type 13 (Triple) (10 Foot),EACH
604-13615,604,Inlet Type 13 (Triple) (15 Foot),EACH
604-13620,604,Inlet Type 13 (Triple) (20 Foot),EACH
604-13651,604,Inlet Type 13 (5 Foot)(Special)(1 Unit),EACH
604-13652,604,Inlet Type 13 (5 Foot)(Special)(2 Unit),EACH
604-13653,604,Inlet Type 13 (5 Foot)(Special)(3 Unit),EACH
604-13662,604,Inlet Type 13 (5 Foot)(Sweeper)(2 Unit),EACH
604-13663,604,Inlet Type 13 (5 Foot)(Sweeper)(3 Unit),EACH
604-13671,604,Inlet Type 13 (10 Foot)(Sweeper)(1 Unit),EACH
604-13672,604,Inlet Type 13 (10 Foot)(Sweeper)(2 Unit),EACH
604-13673,604,Inlet Type 13 (10 Foot)(Sweeper)(3 Unit),EACH
604-13674,604,Inlet Type 13 (10 Foot)(Sweeper)(4 Unit),EACH
604-13675,604,Inlet Type 13 (10 Foot)(Sweeper)(5 Unit),EACH
604-13676,604,Inlet Type 13 (10 Foot)(Sweeper)(6 Unit),EACH
604-13681,604,Inlet Type 13 (10 Foot)(Special)(1 Unit),EACH
604-13683,604,Inlet Type 13 (10 Foot)(Special)(3 Unit),EACH
604-14005,604,Inlet Special (Double) (5 Foot),EACH
604-14010,604,Inlet Special (Double) (10 Foot),EACH
604-14505,604,Inlet Special (Triple) (5 Foot),EACH
604-14510,604,Inlet Special (Triple) (10 Foot),EACH
604-14605,604,Inlet Special (Quad) (5 Foot),EACH
604-16005,604,Inlet Type 16 (5 Foot),EACH
604-16010,604,Inlet Type 16 (10 Foot),EACH
604-16015,604,Inlet Type 16 (15 Foot),EACH
604-16050,604,Inlet Type 16 (Single) (Special),EACH
604-16505,604,Inlet Type 16 (Double) (5 Foot),EACH
604-16510,604,Inlet Type 16 (Double) (10 Foot),EACH
604-16515,604,Inlet Type 16 (Double) (15 Foot),EACH
604-16550,604,Inlet Type 16 (Double) (Special),EACH
604-16605,604,Inlet Type 16 (Triple) (5 Foot),EACH
604-16610,604,Inlet Type 16 (Triple) (10 Foot),EACH
604-16650,604,Inlet Type 16 (Triple) (Special),EACH
604-19000,604,Inlet Special,EACH
604-19005,604,Inlet Special (5 Foot),EACH
604-19010,604,Inlet Special (10 Foot),EACH
604-19015,604,Inlet Special (15 Foot),EACH
604-19020,604,Inlet Special (20 Foot),EACH
604-19025,604,Inlet Special (25 Foot),EACH
604-19035,604,Inlet Special (35 Foot),EACH
604-19105,604,Inlet Type R  L 5 (5 Foot),EACH
604-19110,604,Inlet Type R  L 5 (10 Foot),EACH
604-19115,604,Inlet Type R  L 5 (15 Foot),EACH
604-19120,604,Inlet Type R  L 5 (20 Foot),EACH
604-19205,604,Inlet Type R  L 10 (5 Foot),EACH
604-19210,604,Inlet Type R  L 10 (10 Foot),EACH
604-19215,604,Inlet Type R  L 10 (15 Foot),EACH
604-19220,604,Inlet Type R  L 10 (20 Foot),EACH
604-19305,604,Inlet Type R  L 15 (5 Foot),EACH
604-19310,604,Inlet Type R  L 15 (10 Foot),EACH
604-19315,604,Inlet Type R  L 15 (15 Foot),EACH
604-19320,604,Inlet Type R  L 15 (20 Foot),EACH
604-19405,604,Inlet Type R Special (5 Foot),EACH
604-19410,604,Inlet Type R Special (10 Foot),EACH
604-19415,604,Inlet Type R Special (15 Foot),EACH
604-19505,604,Inlet Type R L 20 (5 Foot),EACH
604-19510,604,Inlet Type R L 20 (10 Foot),EACH
604-19515,604,Inlet Type R L20 (13 Foot),EACH
604-19600,604,Inlet (Sand Filter),EACH
604-19700,604,Inlet Special (L 32),EACH
604-19704,604,Inlet Special (Trench Drain) (4 Inch Width),LF
604-19710,604,Inlet Special (Trench Drain) (10 Inch Width),LF
604-19712,604,Inlet Special (Trench Drain) (12 Inch Width),LF
604-19724,604,Inlet Special (Trench Drain) (24 Inch Width),LF
604-19730,604,Inlet Special (Trench Drain) (30 Inch Width),LF
604-19900,604,Place Inlet,EACH
604-20000,604,Outlet Structure,EACH
604-20001,604,Outlet Structure,L S
604-20002,604,Outlet Structure (Special),L S
604-20003,604,Outlet Structure (Special),EACH
604-20010,604,Settling Basin,EACH
604-25000,604,Vane Grate Inlet Special,EACH
604-25001,604,Vane Grate Inlet Special,LF
604-25005,604,Vane Grate Inlet (5 Foot),EACH
604-25006,604,Vane Grate Inlet Special (5 Foot),EACH
604-25007,604,Vane Grate Inlet Special (Double) (5 Foot),EACH
604-25010,604,Vane Grate Inlet (10 Foot),EACH
604-25011,604,Vane Grate Inlet Special (10 Foot),EACH
604-25015,604,Vane Grate Inlet (15 Foot),EACH
604-25016,604,Vane Grate Inlet Special (15 Foot),EACH
604-25020,604,Vane Grate Inlet (20 Foot),EACH
604-25021,604,Vane Grate Inlet Special (20 Foot),EACH
604-25025,604,Vane Grate Inlet (25 Foot),EACH
604-26005,604,Vane Grate Inlet (Double) (5 Foot),EACH
604-26006,604,Vane Grate Inlet Special (Double) (5 Foot),EACH
604-26010,604,Vane Grate Inlet (Double) (10 Foot),EACH
604-26011,604,Vane Grate Inlet Special (Double) (10 Foot),EACH
604-26015,604,Vane Grate Inlet (Double) (15 Foot),EACH
604-26016,604,Vane Grate Inlet Special (Double) (15 Foot),EACH
604-26020,604,Vane Grate Inlet (Double) (20 Foot),EACH
604-26025,604,Vane Grate Inlet (Double) (25 Foot),EACH
604-26030,604,Vane Grate Inlet (Triple) (5 Foot),EACH
604-26035,604,Vane Grate Inlet (Triple) (10 Foot),EACH
604-30000,604,Manhole Slab Base (Special),EACH
604-30005,604,Manhole Slab Base (5 Foot),EACH
604-30010,604,Manhole Slab Base (10 Foot),EACH
604-30015,604,Manhole Slab Base (15 Foot),EACH
604-30020,604,Manhole Slab Base (20 Foot),EACH
604-30025,604,Manhole Slab Base (25 Foot),EACH
604-30030,604,Manhole Slab Base (30 Foot),EACH
604-30035,604,Manhole Slab Base (35 Foot),EACH
604-31000,604,Manhole Box Base (Special),EACH
604-31005,604,Manhole Box Base (5 Foot),EACH
604-31010,604,Manhole Box Base (10 Foot),EACH
604-31015,604,Manhole Box Base (15 Foot),EACH
604-31020,604,Manhole Box Base (20 Foot),EACH
604-31025,604,Manhole Box Base (25 Foot),EACH
604-31030,604,Manhole Box Base (30 Foot),EACH
604-31035,604,Manhole Box Base (12 m),EACH
604-31040,604,Manhole Box Base (40 Foot),EACH
604-32010,604,Manhole T-Base (10 Foot),EACH
604-32015,604,Manhole T-Base (15 Foot),EACH
604-32020,604,Manhole T-Base (20 Foot),EACH
604-32025,604,Manhole T-Base (25 Foot),EACH
604-39000,604,Manhole Special,EACH
604-39005,604,Manhole Special (5 Foot),EACH
604-39010,604,Manhole Special (10 Foot),EACH
604-39011,604,Manhole Special (10 Foot) (Install Only),EACH
604-39015,604,Manhole Special (15 Foot),EACH
604-39020,604,Manhole Special (20 Foot),EACH
604-39025,604,Manhole Special (25 Foot),EACH
604-39030,604,Manhole Special (30 Foot),EACH
604-39035,604,Manhole Special (35 Foot),EACH
604-39050,604,Manhole (Traffic Management System),EACH
604-50000,604,Inlet Grating and Frame (Median),EACH
604-50003,604,Inlet Grating and Frame Type C,EACH
604-50013,604,Number 13 Inlet Grating and Frame,EACH
604-50050,604,Inlet Grating and Frame Special,EACH
604-50060,604,Grating and Frame,LF
604-50062,604,Grating and Frame,EACH
604-50065,604,Place Grating and Frame,LF
604-50100,604,Galvanized Interlocking Grating,LF
604-50105,604,Place Grating,LF
604-50110,604,Place Inlet Grating and Frame,EACH
604-50150,604,Irrigation Structure Frame and Cover,EACH
604-50200,604,Manhole Ring and Cover,EACH
604-50210,604,Place Manhole Ring and Cover,EACH
604-50300,604,Storm Sewer Ring and Cover,EACH
604-50700,604,Meter Vault,EACH
604-50750,604,Sanitary Sewer Meter Box,EACH
604-50800,604,Sanitary Sewer Vault,EACH
604-51012,604,12 Inch Slotted Pipe Inlet,LF
604-51015,604,15 Inch Slotted Pipe Inlet,LF
604-51018,604,18 Inch Slotted Pipe Inlet,LF
604-51021,604,21 Inch Slotted Pipe Inlet,LF
604-51024,604,24 Inch Slotted Pipe Inlet,LF
604-55018,604,18 Inch Aramid Fiber Bonded Slotted Pipe Inlet,LF
604-56000,604,Slotted Vane Drain,EACH
604-60208,604,8 Inch Concrete Pipe Sewer Extra Strength,LF
604-60210,604,10 Inch Concrete Pipe Sewer Extra Strength,LF
604-60212,604,12 Inch Concrete Pipe Sewer Extra Strength,LF
604-60215,604,15 Inch Concrete Pipe Sewer Extra Strength,LF
604-60218,604,18 Inch Concrete Pipe Sewer Extra Strength,LF
604-60404,604,4 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60406,604,6 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60408,604,8 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60410,604,10 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60412,604,12 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60415,604,15 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60418,604,18 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60421,604,21 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-60424,604,24 Inch Vitrified Clay Pipe Sewer Extra Strength,LF
604-61120,604,12 Inch Reinforced Concrete Pipe Sewer,LF
604-61150,604,15 Inch Reinforced Concrete Pipe Sewer,LF
604-61151,604,15 Inch Reinforced Concrete Pipe Sewer Special,LF
604-61180,604,18 Inch Reinforced Concrete Pipe Sewer,LF
604-61210,604,21 Inch Reinforced Concrete Pipe Sewer,LF
604-61240,604,24 Inch Reinforced Concrete Pipe Sewer,LF
604-61241,604,24 Inch Reinforced Concrete Pipe Sewer Special,LF
604-61270,604,27 Inch Reinforced Concrete Pipe Sewer,LF
604-61300,604,30 Inch Reinforced Concrete Pipe Sewer,LF
604-61330,604,33 Inch Reinforced Concrete Pipe Sewer,LF
604-61360,604,36 Inch Reinforced Concrete Pipe Sewer,LF
604-61361,604,36 Inch Reinforced Concrete Pipe Sewer Special,LF
604-61420,604,42 Inch Reinforced Concrete Pipe Sewer,LF
604-61421,604,42 Inch Reinforced Concrete Pipe Sewer Special,LF
604-61480,604,48 Inch Reinforced Concrete Pipe Sewer,LF
604-61481,604,48 Inch Reinforced Concrete Pipe Sewer Special,LF
604-61540,604,54 Inch Reinforced Concrete Pipe Sewer,LF
604-61541,604,54 Inch Reinforced Concrete Pipe Sewer Special,LF
604-61600,604,60 Inch Reinforced Concrete Pipe Sewer,LF
604-61660,604,66 Inch Reinforced Concrete Pipe Sewer,LF
604-61720,604,72 Inch Reinforced Concrete Pipe Sewer,LF
604-61780,604,78 Inch Reinforced Concrete Pipe Sewer,LF
604-61840,604,84 Inch Reinforced Concrete Pipe Sewer,LF
604-62180,604,23x14 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62240,604,30x19 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62300,604,38x24 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62301,604,38x24 Inch Reinforced Concrete Pipe Sewer Elliptical Special,LF
604-62360,604,45x29 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62420,604,53x34 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62480,604,60x38 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62540,604,68x43 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62600,604,76x48 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62660,604,83x53 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-62720,604,91x58 Inch Reinforced Concrete Pipe Sewer Elliptical,LF
604-67180,604,18 Inch Reinforced Concrete Pipe Sewer (Jacked),LF
604-67240,604,24 Inch Reinforced Concrete Pipe Sewer (Jacked),LF
604-67360,604,36 Inch Reinforced Concrete Pipe Sewer (Jacked),LF
604-67420,604,42 Inch Reinforced Concrete Pipe Sewer (Jacked),LF
604-67540,604,54 Inch Reinforced Concrete Pipe Sewer (Jacked),LF
604-67600,604,60 Inch Reinforced Concrete Pipe Sewer (Jacked),LF
604-67780,604,78 Inch Reinforced Concrete Pipe Sewer (Jacked),LF
604-70120,604,12 Inch Corrugated Steel Pipe Sewer,LF
604-70150,604,15 Inch Corrugated Steel Pipe Sewer,LF
604-70180,604,18 Inch Corrugated Steel Pipe Sewer,LF
604-70210,604,21 Inch Corrugated Steel Pipe Sewer,LF
604-70240,604,24 Inch Corrugated Steel Pipe Sewer,LF
604-70300,604,30 Inch Corrugated Steel Pipe Sewer,LF
604-70360,604,36 Inch Corrugated Steel Pipe Sewer,LF
604-70420,604,42 Inch Corrugated Steel Pipe Sewer,LF
604-70480,604,48 Inch Corrugated Steel Pipe Sewer,LF
604-70540,604,54 Inch Corrugated Steel Pipe Sewer,LF
604-70600,604,60 Inch Corrugated Steel Pipe Sewer,LF
604-71100,604,10 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71120,604,12 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71150,604,15 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71180,604,18 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71210,604,21 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71240,604,24 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71300,604,30 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71360,604,36 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71420,604,42 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71480,604,48 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71540,604,54 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-71600,604,60 Inch Bituminous Coated Corrugated Steel Pipe Sewer,LF
604-72120,604,12 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72150,604,15 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72180,604,18 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72210,604,21 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72240,604,24 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72300,604,30 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72360,604,36 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72420,604,42 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72480,604,48 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72540,604,54 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-72600,604,60 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer,LF
604-73180,604,18 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer (Pav,LF
604-73210,604,21 Inch Aramid Fiber Bonded Corrugated Steel Pipe Sewer (Pav,LF
604-81004,604,4 Inch Cast Iron Pipe Sewer,LF
604-81006,604,6 Inch Cast Iron Pipe Sewer,LF
604-81008,604,8 Inch Cast Iron Pipe Sewer,LF
604-81016,604,16 Inch Cast Iron Pipe Sewer,LF
604-81018,604,18 Inch Cast Iron Pipe Sewer,LF
604-82006,604,6 Inch Ductile Iron Pipe Sewer,LF
604-82008,604,8 Inch Ductile Iron Pipe Sewer,LF
604-82010,604,10 Inch Ductile Iron Pipe Sewer,LF
604-82012,604,12 Inch Ductile Iron Pipe Sewer,LF
604-82016,604,16 Inch Ductile Iron Pipe Sewer,LF
604-82018,604,18 Inch Ductile Iron Pipe Sewer,LF
604-82024,604,24 Inch Ductile Iron Pipe Sewer,LF
604-82030,604,30 Inch Ductile Iron Pipe Sewer,LF
604-82036,604,36 Inch Ductile Iron Pipe Sewer,LF
604-83002,604,2 Inch Plastic Pipe Sewer (Polyethylene),LF
604-83101,604,1 1/2 Inch Plastic Pipe Sewer (Polyvinyl Chloride),LF
604-83102,604,2 Inch Plastic Pipe Sewer (Polyvinylchloride),LF
604-83103,604,3 Inch Plastic Pipe Sewer (Polyvinyl Chloride),LF
604-83104,604,4 Inch Plastic Pipe Sewer (Polyvinyl Chloride),LF
604-83106,604,6 Inch Plastic Pipe Sewer (Polyvinyl Chloride),LF
604-83108,604,8 Inch Plastic Pipe Sewer (Polyvinyl Chloride),LF
604-83110,604,10 Inch Plastic Pipe Sewer (Polyvinyl Chloride),LF
