bid_item_code,category,description,unit_of_measure
202-04004,202,Plug Culvert (Special),EACH
202-04005,202,Clean Valve Box,EACH
202-04010,202,Clean Inlet,EACH
202-04040,202,Clean Box Girder,EACH
202-04041,202,Clean Box Girder (Forms and Debris),SF
202-04042,202,Clean Box Girder (Organic Material),SF
202-04050,202,Clean Expansion Joint,LF
202-04060,202,Dust Abatement,L S
202-04100,202,Abandon Well,EACH
202-04200,202,Plug Storage Tank,EACH
202-04300,202,Removal of Underground Storage Tank,EACH
202-05000,202,Transverse Grooving,SY
202-05002,202,Sawing Concrete (2 Inch),LF
202-05004,202,Sawing Concrete (4 Inch),LF
202-05006,202,Sawing Concrete (6 Inch),LF
202-05008,202,Sawing Concrete (8 Inch),LF
202-05010,202,Sawing Concrete (10 Inch),LF
202-05011,202,Sawing Concrete (10.5 Inch),LF
202-05019,202,Sawing Concrete (Special),LF
202-05026,202,Sawing Asphalt Material (6 Inch),LF
202-05030,202,Sawing Asphalt Material (10 Inch),LF
202-05100,202,Sandblasting Reinforcing Steel,SY
202-05150,202,Sandblasting,SF
202-05300,202,Removal and Disposal of Paint,L S
202-06000,202,Removal of Detour,L S
202-06500,202,Removal of Restraining Bar,L S
202-06510,202,Removal of Inspection Car Rail,L S
202-06520,202,Removal of Existing Wall Panels,L S
202-06530,202,Clean Drain Pipe (Special),EACH
202-07000,202,Obliterate Old Road,L S
202-07100,202,Removal of Access Road (Special),L S
202-07200,202,Removal of Temporary Stream Crossing,EACH
202-11581,202,Fence (Temporary) (Special),LF
203-00000,203,Unclassified Excavation,CY
203-00005,203,Unclassified Excavation (Haul),CY
203-00010,203,Unclassified Excavation (Complete In Place),CY
203-00012,203,Unclassified Excavation (Complete In Place) (Special),CY
203-00015,203,Unclassified Excavation (Haul and Compaction),CY
203-00040,203,Unclassified Excavation (Special),CY
203-00050,203,Unsuitable Material,CY
203-00055,203,Embankment Material (Haul),CY
203-00060,203,Embankment Material (Complete In Place),CY
203-00061,203,Embankment Material (Complete In Place),TON
203-00062,203,Embankment Material (Complete In Place) (Special),CY
203-00065,203,Embankment Material (Complete In Place) (R20),CY
203-00066,203,Embankment Material (Complete In Place) (R40),CY
203-00100,203,Muck Excavation,CY
203-00105,203,Muck Excavation (Haul),CY
203-00112,203,Muck Excavation (Haul) (Special),CY
203-00200,203,Borrow,CY
203-00205,203,Borrow (Haul),CY
203-00210,203,Borrow (Complete In Place),CY
203-00215,203,Borrow (Haul and Compaction),CY
203-00310,203,Borrow (Complete In Place),TON
203-00400,203,Rock Excavation,CY
203-00405,203,Rock Excavation (Haul),CY
203-00440,203,Rock Excavation (Special),CY
203-00450,203,Rock Removal,EACH
203-00500,203,Rock Fill,CY
203-00505,203,Rock Fill (Haul),CY
203-00510,203,Rock Fill (Special),CY
203-00555,203,Rock Fill (Haul),TON
203-00590,203,Rock Placement,CY
203-00592,203,Rock Staining,SF
203-00595,203,Rock Scaling,SY
203-00596,203,Rock Scaling,L S
203-00598,203,Rock Scaling,HOUR
203-00599,203,Rock Scaler,HOUR
203-00600,203,Stripping,CY
203-00605,203,Stripping (Haul),CY
203-00700,203,Reclaim Pit,EACH
203-00705,203,Access Pit,EACH
203-00710,203,Clay Plating (Complete In Place),CY
203-00810,203,Sawdust Fill (Complete In Place),CY
203-00840,203,Expanded Polystyrene Fill,CY
203-00850,203,Expanded Polystyrene Fill (Complete In Place),CY
203-00875,203,Place Shredded Tire Fill (Complete In Place),CY
203-00900,203,Contaminated Soil Excavation,CY
203-00910,203,Contaminated Soil Excavation and Disposal (Off-Site),CY
203-01020,203,Compaction (AASHTO T 99),CY
203-01030,203,Compaction (AASHTO T 180),CY
203-01040,203,Trench Compaction,SY
203-01050,203,Dynamic Deep Compaction,CY
203-01055,203,Dynamic Deep Compaction,SY
203-01100,203,Proof Rolling,HOUR
203-01120,203,Vibratory Rolling,HOUR
203-01125,203,Drop Hammer Compactor,HOUR
203-01140,203,Rolling,HOUR
203-01200,203,Roadway Insulation Material (2 Inch),SF
203-01500,203,Blading,HOUR
203-01510,203,Backhoe,HOUR
203-01515,203,Backhoe (Landscaping),HOUR
203-01520,203,Backhoe (Special),EACH
203-01525,203,Backhoe (Special),HOUR
203-01545,203,Air Compressor (250 CFM),HOUR
203-01547,203,Air Compressor (600 CFM),HOUR
203-01548,203,Pump,DAY
203-01549,203,Pump,HOUR
203-01550,203,Dozing,HOUR
203-01551,203,Dozing (Heavy),HOUR
203-01555,203,Dozing (Landscaping),HOUR
203-01560,203,Scraping,HOUR
203-01565,203,Hydraulic Excavator,HOUR
203-01570,203,Dragline,HOUR
203-01580,203,Truck,HOUR
203-01581,203,Truck (Off Highway End Dump),HOUR
203-01582,203,Truck (Dump),HOUR
203-01583,203,Truck (Tractor),HOUR
203-01584,203,Truck (Water),HOUR
203-01590,203,Front End Loader (Rubber Tire),HOUR
203-01591,203,Front End Loader (Crawler),HOUR
203-01592,203,Front End Loader (Special),HOUR
203-01594,203,Combination Loader,HOUR
203-01596,203,Potholing With Surveying and Stationing of U/G Utilities,L S
203-01597,203,Potholing,HOUR
203-01598,203,Potholing (Special),EACH
203-01600,203,Crane (Crawler),HOUR
203-01610,203,Crane (Rubber Tire),HOUR
203-01615,203,Crane (Scaling),HOUR
203-01620,203,Sweeping,HOUR
203-01622,203,Sweeping (With Pickup Broom),HOUR
203-01625,203,Hydraulic Excavator Scaling,HOUR
203-01700,203,Transport,HOUR
203-02000,203,Drilling and Blasting,LF
203-02060,203,Presplitting,LF
203-02300,203,Rock Scaler,HOUR
203-02310,203,Scaler Foreman,HOUR
203-02312,203,Hand Scaling,HOUR
203-02315,203,Mechanized Scaling,HOUR
203-02320,203,Blaster,HOUR
203-02324,203,Blast Vibration Monitoring,L S
203-02330,203,Laborer,HOUR
203-03005,203,Portal Area Excavation (Haul),CY
203-03105,203,Cinnamon Creek Area Excavation (Haul),CY
203-62340,203,Salaried Foreman and Pickup,HOUR
204-00000,204,Haul,YM
204-00010,204,Haul,TM
206-00000,206,Structure Excavation,CY
206-00010,206,Structure Excavation (Special),CY
206-00050,206,Structure Backfill (Special),CY
206-00060,206,Structure Backfill (Special) (Flow-Fill),CY
206-00065,206,Structure Backfill (Flow-Fill),CY
206-00066,206,Structure Backfill (Flowable Fly Ash),CY
206-00070,206,Structure Backfill (Controlled Low Strength Materials),CY
206-00100,206,Structure Backfill (Class 1),CY
206-00105,206,Cement Treated Base,CY
206-00200,206,Structure Backfill (Class 2),CY
206-00310,206,Structure Backfill (Reinforced Earth Wall),CY
206-00315,206,Structure Backfill (Mechanically Stabilized Earth Wall),CY
206-00320,206,Structure Backfill (Concrete Retaining Wall),CY
206-00325,206,Structure Backfill (Mechanically Stabilized Earth Fill),CY
206-00350,206,Structure Backfill (Mechanically Stabilized Earth),CY
206-00360,206,Mechanical Reinforcement of Soil,CY
206-00505,206,Filter Material (Special),CY
206-00507,206,Filter Material (Porous Concrete),CY
206-00510,206,Filter Material (Class A),CY
206-00520,206,Filter Material (Class B),CY
206-00530,206,Filter Material (Class C),CY
206-00590,206,Filter Material (Porous Concrete),CY
206-01000,206,Bed Course Material,CY
206-01001,206,Bed Course Material (Special),CY
206-01010,206,Bed Course Material,TON
206-01015,206,Aggregate Filter Blanket (2 Feet),SY
206-01020,206,Aggregate Filter Blanket (3 Feet),SY
206-01025,206,Rock Blanket (1 Foot),SY
206-01030,206,Rock Blanket (2 Feet),SY
206-01500,206,Cofferdam,L S
206-01550,206,Cofferdam (Area 1),L S
206-01555,206,Cofferdam (Area 2),L S
206-01560,206,Cofferdam (Area 3),L S
206-01600,206,Temporary Excavation Support,L S
206-01701,206,Temporary Excavation Support (Area 1),L S
206-01702,206,Temporary Excavation Support (Area 2),L S
206-01703,206,Temporary Excavation Support (Area 3),L S
206-01704,206,Temporary Excavation Support (Area 4),L S
206-01705,206,Temporary Excavation Support (Area 5),L S
206-01706,206,Temporary Excavation Support (Area 6),L S
206-01707,206,Temporary Excavation Support (Area 7),L S
206-01708,206,Temporary Excavation Support (Area 8),L S
206-01709,206,Temporary Excavation Support (Area 9),L S
206-01710,206,Temporary Excavation Support (Area 10),L S
206-01711,206,Temporary Excavation Support (Area 11),L S
206-01712,206,Temporary Excavation Support (Area 12),L S
206-01713,206,Temporary Excavation Support (Area 13),L S
206-01714,206,Temporary Excavation Support (Area 14),L S
206-01715,206,Temporary Excavation Support (Area 15),L S
206-01716,206,Temporary Excavation Support (Area 16),L S
206-01717,206,Temporary Excavation Support (Area 17),L S
206-01718,206,Temporary Excavation Support (Area 18),L S
206-01719,206,Temporary Excavation Support (Area 19),L S
206-01720,206,Temporary Excavation Support (Area 20),L S
206-01721,206,Temporary Excavation Support (Area 21),L S
206-01722,206,Temporary Excavation Support (Area 22),L S
206-01750,206,Shoring,L S
206-01781,206,Shoring (Area 1),L S
206-01782,206,Shoring (Area 2),L S
206-01783,206,Shoring (Area 3),L S
206-01784,206,Shoring (Area 4),L S
206-01785,206,Shoring (Area 5),L S
206-01786,206,Shoring (Area 6),L S
206-01787,206,Shoring (Area 7),L S
206-01788,206,Shoring (Area 8),L S
206-01789,206,Shoring (Area 9),L S
206-01790,206,Shoring (Area 10),L S
206-01791,206,Shoring (Area 11),L S
206-01792,206,Shoring (Area 12),L S
206-01793,206,Shoring (Area 13),L S
206-01794,206,Shoring (Area 14),L S
206-01795,206,Shoring (Area 15),L S
207-00205,207,Topsoil,CY
207-00210,207,Stockpile Topsoil,CY
207-00305,207,Wetland Topsoil,CY
207-00310,207,Stockpile Wetland Topsoil,CY
207-00405,207,Topsoil (Special),CY
207-01110,207,Planter Soil Mix,CY
208-00000,208,Ditch Guard,LF
208-00001,208,Silt Dike,LF
208-00002,208,Erosion Log Type 1 (12 Inch),LF
208-00003,208,Erosion Log (18 Inch),LF
208-00004,208,Silt Berm,LF
208-00005,208,Erosion Log,LF
208-00006,208,Erosion Log (Special),LF
208-00007,208,Erosion Log Type 2 (8 Inch),LF
208-00008,208,Erosion Log Type 2 (12 Inch),LF
208-00009,208,Erosion Log Type 2 (18 Inch),LF
208-00010,208,Erosion Bales,EACH
208-00011,208,Erosion Bales (Weed Free),EACH
208-00012,208,Erosion Log Type 1 (9 Inch),LF
208-00013,208,Erosion Log Type 1 (20 Inch),LF
208-00015,208,Sand Bag,EACH
208-00018,208,Gravel Bag,LF
208-00019,208,Silt Fence (Reinforced)(Special),LF
208-00020,208,Silt Fence,LF
208-00021,208,Silt Fence (Reinforced),LF
208-00022,208,Erosion Log (Type 3)(9 Inch),LF
208-00023,208,Erosion Log (Type 3)(12 Inch),LF
208-00024,208,Erosion Log (Type 3)(20 Inch),LF
208-00025,208,Plastic Sheeting,SY
208-00026,208,Coir Roll,LF
208-00030,208,Sediment Basin,EACH
208-00033,208,Sediment Trap,EACH
208-00034,208,Gravel Bag,LF
208-00035,208,Aggregate Bag,LF
208-00036,208,Aggregate Bag (Special),LF
208-00040,208,Check Dam,EACH
208-00041,208,Rock Check Dam,EACH
208-00045,208,Concrete Washout Structure,EACH
208-00046,208,Pre-fabricated Concrete Washout Structure,EACH
208-00050,208,Storm Drain Inlet Protection,EACH
208-00051,208,Storm Drain Inlet Protection (Type I),LF
208-00052,208,Storm Drain Inlet Protection (Type II),LF
208-00053,208,Storm Drain Inlet Protection (Type I),EACH
208-00054,208,Storm Drain Inlet Protection (Type II),EACH
208-00055,208,Rigid Inlet Protection Device,EACH
208-00056,208,Storm Drain Inlet Protection (Type III),EACH
208-00060,208,Temporary Slope Drain,LF
208-00070,208,Vehicle Tracking Pad,EACH
208-00071,208,Maintenance Aggregate (Vehicle Tracking Pad),CY
208-00075,208,Pre-fabricated Vehicle Tracking Pad,EACH
208-00100,208,Sediment Removal and Disposal,L S
208-00101,208,Sediment Removal and Disposal,HOUR
208-00103,208,Removal and Disposal of Sediment (Labor),HOUR
208-00105,208,Removal and Disposal of Sediment (Equipment),HOUR
208-00106,208,Sweeping (Sediment Removal),HOUR
208-00107,208,Removal of Trash,HOUR
208-00110,208,Sediment Removal and Disposal,CY
208-00120,208,Sediment Removal and Disposal,EACH
208-00200,208,Erosion Control Supervisor,L S
208-00205,208,Erosion Control Supervisor,HOUR
208-00206,208,Erosion Control Supervisor,DAY
208-00207,208,Erosion Control Management,DAY
208-00220,208,Best Management Practices Construction (Special),DOL
208-00300,208,Temporary Berms,LF
208-00301,208,Temporary Diversion,LF
208-00302,208,Temporary Spill Berm (Special),LF
208-00400,208,Water Control,L S
208-00500,208,Swale Protection Type 1,LF
208-00502,208,Swale Protection Type 2,LF
208-00503,208,Swale Protection Type 3,LF
208-00504,208,Swale Protection Type 4,LF
208-00505,208,Swale Protection Type 5,LF
208-00506,208,Swale Protection Type 6,LF
208-00510,208,Streambank Stabilization Type 1,LF
208-00512,208,Streambank Stabilization Type 2,LF
208-00520,208,Temporary Stream Crossing,L S
209-00000,209,Water,MGAL
209-00050,209,Water,MGAL
209-00100,209,Water (Landscaping),MGAL
209-00200,209,Time-Released Water Product,EACH
209-00300,209,Water Treat Processing (Tunnel),MGAL
209-00500,209,Hydroscaling,MGAL
209-00600,209,Dust Palliative (Magnesium Chloride),GAL
209-00601,209,Dust Palliative (Magnesium Chloride),MGAL
209-00605,209,Dust Palliative (Magnesium Chloride)(Special),GAL
210-00001,210,Reset Structure,EACH
210-00005,210,Reset Curb,LF
210-00007,210,Reset Wheel Stop,EACH
210-00010,210,Reset Mailbox Structure,EACH
210-00011,210,Reset Mailbox Structure (Type 1),EACH
210-00012,210,Reset Mailbox Structure (Type 2),EACH
210-00013,210,Reset Mailbox Structure (Type 3),EACH
210-00014,210,Reset Mailbox Structure (Type 4),EACH
210-00015,210,Reset End Section,EACH
210-00017,210,Reset Embankment Protector,EACH
210-00030,210,Reset Water Service,EACH
210-00035,210,Reset Water Meter,EACH
210-00040,210,Reset Water Line,L S
210-00045,210,Reset Slide Headgate,EACH
210-00050,210,Reset Fire Hydrant,EACH
210-00055,210,Reset Utility Pad-Mounted Transformer,EACH
210-00056,210,Reset Utility Secondary Service Pedestal,EACH
210-00060,210,Reset Marker,EACH
210-00065,210,Reset Monument (Type 3A),EACH
210-00066,210,Reset Monument Box,EACH
210-00070,210,Reset Barricade,EACH
210-00090,210,Reset Delineator,EACH
210-00094,210,Reset LED Lane Markings,EACH
210-00100,210,Reset Trash Guard,EACH
210-00200,210,Reset Flagpole,EACH
210-00300,210,Reset Brick Pavers,SY
210-00400,210,Reset Bridge Expansion Device,LF
210-00410,210,Modify Bridge Expansion Device,EACH
210-00415,210,Repair Rail Expansion Joint,EACH
210-00420,210,Reset Timbers,L S
210-00425,210,Reset Bridge Railing,LF
210-00427,210,Reset Pipe Handrailing,LF
210-00430,210,Repair Bearing Device,EACH
210-00440,210,Repair Curb,LF
210-00442,210,Patch Bridge Curb,LF
210-00444,210,Replace Bridge Curb,LF
210-00450,210,Repair Overhead Sign Structure,L S
210-00451,210,Repair Overhead Sign Structure,EACH
210-00455,210,Repair Post-Tensioning System,L S
210-00460,210,Repair Concrete Pavement,SF
210-00470,210,Repair Parapet Wall,LF
210-00472,210,Reset Metal Panels,LF
210-00473,210,Reset TV Cameras,EACH
210-00474,210,Reset Traffic Controller Signal Head,EACH
